NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,TP_INSCRICAO_ADM,TP_INSCRICAO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79,QE_I80,QE_I81
2017,3849,1,10028,6405,110746,1,1709500,17,1,25,M,2009.0,2013.0,3.0,0,1,8,0,0,0,27,1,6,0,CCBBCEAD,CCBBCEAD,ZACDEEDDACECCECEADECBCDBBAB,ZACDEEDDXXECCEXEAXXCBCDBXAB,BCBDCEAE,1101110.0,*ABCCEDDAEDDEAABADDCBCDAEBA,810001119900009019911110900,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,"47,2","58,3","62,5","52,0",35.0,55.0,30.0,69.0,65.0,70.0,"43,5","45,0","35,0",45.0,40.0,20.0,C,C,C,A,A,B,E,D,D,A,D,A,A,F,A,A,C,B,B,H,A,B,A,B,52.0,A,A,B,C,A,B,D,E,B,A,5.0,3.0,4.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,6.0,2.0,6.0,1.0,1.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,5.0,,,,,,,,,,,,,
2017,3849,1,10028,6405,110746,1,1709500,17,1,26,F,2008.0,2013.0,3.0,0,1,8,0,0,0,27,1,6,0,CCBBCEAD,CCBBCEAD,ZACDEEDDACECCECEADECBCDBBAB,ZACDEEDDXXECCEXEAXXCBCDBXAB,CCDBCEDD,11011101.0,CABDEEEABEAEEEBCADBCBEDDAAA,810111009900019019911010910,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,"55,7","64,8","75,0","49,5",28.0,80.0,15.0,71.0,75.0,70.0,"52,7","50,0","68,3",65.0,60.0,80.0,E,E,A,C,B,B,B,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3849,1,10028,6405,110746,1,1709500,17,1,27,M,2007.0,2009.0,3.0,0,1,8,0,0,0,27,1,6,0,CCBBCEAD,CCBBCEAD,ZACDEEDDACECCECEADECBCDBBAB,ZACDEEDDXXECCEXEAXXCBCDBXAB,DCAECAAD,1001011.0,CAAEAEBCBEACEEEAADAECABADAA,810001009901019019900000910,555.0,555.0,555.0,333.0,555.0,333.0,333.0,333.0,333.0,333.0,333.0,"26,6","30,0","50,0","0,0",0.0,0.0,0.0,0.0,0.0,0.0,"25,5","30,0","0,0",0.0,0.0,0.0,D,C,C,B,A,C,B,D,D,A,D,A,D,D,B,C,C,C,B,A,A,A,A,A,17.0,A,A,B,C,A,C,B,E,E,A,6.0,4.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,3.0,3.0,6.0,4.0,6.0,6.0,6.0,2.0,1.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,3.0,4.0,6.0,5.0,6.0,3.0,6.0,,,,,,,,,,,,,
2017,3849,1,10028,6405,110746,1,1709500,17,1,28,M,2006.0,2008.0,3.0,0,1,8,0,0,0,27,1,6,0,CCBBCEAD,CCBBCEAD,ZACDEEDDACECCECEADECBCDBBAB,ZACDEEDDXXECCEXEAXXCBCDBXAB,,,,,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3849,1,10028,6405,110746,1,1709500,17,1,31,M,2005.0,2012.0,3.0,0,1,8,0,0,0,27,1,6,0,CCBBCEAD,CCBBCEAD,ZACDEEDDACECCECEADECBCDBBAB,ZACDEEDDXXECCEXEAXXCBCDBXAB,,,,,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3849,1,10028,6405,110746,1,1709500,17,1,27,F,2008.0,2009.0,3.0,0,1,8,0,0,0,27,1,6,0,CCBBCEAD,CCBBCEAD,ZACDEEDDACECCECEADECBCDBBAB,ZACDEEDDXXECCEXEAXXCBCDBXAB,DCEBEEBD,1010101.0,AABCADDBAAAADEBACDBDACDAACC,810000109900019009900110900,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,333.0,555.0,"30,1","50,8","50,0","52,0",58.0,70.0,55.0,46.0,30.0,50.0,"23,2","25,0","13,3",0.0,0.0,40.0,C,D,B,B,B,B,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3849,1,10028,6405,110746,1,1709500,17,1,35,M,2003.0,2009.0,3.0,0,1,8,0,0,0,27,1,6,0,CCBBCEAD,CCBBCEAD,ZACDEEDDACECCECEADECBCDBBAB,ZACDEEDDXXECCEXEAXXCBCDBXAB,,,,,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3849,1,10028,6405,110746,1,1709500,17,1,23,F,2010.0,2011.0,3.0,0,1,8,0,0,0,27,1,6,0,CCBBCEAD,CCBBCEAD,ZACDEEDDACECCECEADECBCDBBAB,ZACDEEDDXXECCEXEAXXCBCDBXAB,CCBBCEAD,11111111.0,DCCDEEEAAEDECEABADDCBADBEAB,801111009900119019911011911,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,"71,1","94,0",100,"85,0",78.0,70.0,80.0,92.0,60.0,100.0,"63,5","65,0","55,0",85.0,40.0,40.0,C,D,B,B,C,C,B,D,E,A,A,A,E,D,A,A,F,B,A,A,A,A,A,A,52.0,E,A,B,B,A,A,B,E,H,I,4.0,5.0,3.0,1.0,3.0,3.0,6.0,5.0,4.0,4.0,2.0,5.0,6.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,3.0,8.0,8.0,2.0,2.0,2.0,4.0,5.0,6.0,6.0,5.0,6.0,6.0,2.0,2.0,5.0,7.0,4.0,5.0,4.0,,,,,,,,,,,,,
2017,3849,1,10028,6405,110746,1,1709500,17,1,22,F,2013.0,2013.0,3.0,0,1,8,0,0,0,27,1,6,0,CCBBCEAD,CCBBCEAD,ZACDEEDDACECCECEADECBCDBBAB,ZACDEEDDXXECCEXEAXXCBCDBXAB,DCCDCEED,1001101.0,CBCDEADDACDADCAEADBDBCDBAAA,801110119900009119901111910,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,"62,2","56,8","50,0","67,0",79.0,75.0,80.0,55.0,75.0,50.0,"64,0","60,0","86,7",80.0,100.0,80.0,C,C,C,B,B,C,B,C,B,A,D,A,D,E,B,C,A,B,A,A,E,D,A,A,17.0,A,B,B,C,A,B,C,D,A,A,6.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,3.0,4.0,5.0,3.0,4.0,4.0,6.0,4.0,5.0,4.0,3.0,2.0,3.0,5.0,6.0,3.0,3.0,1.0,4.0,6.0,5.0,6.0,6.0,6.0,6.0,4.0,3.0,3.0,1.0,4.0,5.0,6.0,,,,,,,,,,,,,
2017,3849,1,10028,6405,110746,1,1709500,17,1,22,M,2012.0,2013.0,3.0,0,1,8,0,0,0,27,1,6,0,CCBBCEAD,CCBBCEAD,ZACDEEDDACECCECEADECBCDBBAB,ZACDEEDDXXECCEXEAXXCBCDBXAB,DCBBCEBD,1111101.0,CADDEEDDBCEADCABADDDBCDBAAD,810111119910009019901111910,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,"63,9","71,6","75,0","66,5",62.0,50.0,65.0,71.0,75.0,70.0,"61,3","65,0","40,0",80.0,40.0,0.0,C,D,C,B,B,B,A,D,C,A,D,A,B,D,D,A,B,B,A,A,A,A,A,A,52.0,A,A,B,C,B,C,C,E,B,A,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,2.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,6.0,4.0,6.0,,,,,,,,,,,,,
2017,3849,1,10028,6405,110746,1,1709500,17,1,27,M,2007.0,2008.0,3.0,0,1,8,0,0,0,27,1,6,0,CCBBCEAD,CCBBCEAD,ZACDEEDDACECCECEADECBCDBBAB,ZACDEEDDXXECCEXEAXXCBCDBXAB,ADBACEBD,101101.0,BAADDEECAEAADCCEBBDCBBEDDAB,810101009900009109911000911,555.0,555.0,555.0,333.0,555.0,555.0,333.0,333.0,555.0,555.0,555.0,"35,0","30,0","50,0","0,0",0.0,0.0,0.0,0.0,0.0,0.0,"36,7","40,0","18,3",15.0,20.0,20.0,C,D,B,B,B,B,B,C,C,A,D,A,D,C,A,A,B,C,D,A,A,A,A,A,17.0,A,A,B,B,A,B,B,E,E,I,5.0,6.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,3.0,4.0,5.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,5.0,3.0,5.0,5.0,5.0,6.0,3.0,3.0,3.0,1.0,4.0,4.0,5.0,,,,,,,,,,,,,
2017,3849,1,10028,6405,110746,1,1709500,17,1,31,M,2003.0,2010.0,3.0,0,1,8,0,0,0,27,1,6,0,CCBBCEAD,CCBBCEAD,ZACDEEDDACECCECEADECBCDBBAB,ZACDEEDDXXECCEXEAXXCBCDBXAB,CCADEEAE,11000110.0,EACBEEDBBBDADEABADDDABCBABC,811011109900019019900001900,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,"39,8","47,2","50,0","43,0",56.0,60.0,55.0,30.0,50.0,25.0,"37,3","40,0","21,7",25.0,20.0,20.0,C,C,B,B,B,D,B,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3849,1,10028,6405,110746,1,1709500,17,1,24,M,2011.0,2013.0,3.0,0,1,8,0,0,0,27,1,6,0,CCBBCEAD,CCBBCEAD,ZACDEEDDACECCECEADECBCDBBAB,ZACDEEDDXXECCEXEAXXCBCDBXAB,BAADCECC,1100.0,EACDBEEADCDDCACBCACCBEDBCAC,811101009900109009911011910,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,"42,5","30,0","25,0","37,5",25.0,65.0,15.0,50.0,70.0,45.0,"46,7","50,0","28,3",25.0,40.0,20.0,C,C,C,B,A,B,A,D,D,A,D,A,C,E,F,A,B,B,A,A,C,A,A,E,21.0,A,A,B,C,A,B,E,D,E,A,6.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,4.0,5.0,5.0,4.0,5.0,5.0,6.0,4.0,3.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,6.0,,,,,,,,,,,,,
